sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,sample_type,nucleotide_type,collection_location,host_genome,notes
RR034H_226_serRa_S224,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,3261.0,5711966,12218,0.214,5502750,1.0,46.352,3.88,196096,195948,90894,23446,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_227_serRa_S225,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,830.0,6302396,11568,0.184,6010648,1.0,41.221,4.71,264528,264308,109042,23146,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_228_serRa_S226,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,5307.0,936492,461486,49.278,122,1.0,88.147,1.79,936342,936284,825354,461836,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_229_serRa_S227,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,3586.0,7614750,16504,0.217,2647080,1.0,49.679,2.77,462682,462582,229858,82938,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_230_serRa_S228,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,3167.0,11915456,5546,0.047,936860,1.0,57.712,1.99,1306070,1305790,753760,379104,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_231_serRa_S229,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,3125.0,11726014,6728,0.057,961052,1.0,52.917,1.72,852332,852050,451028,262410,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_232_serRa_S230,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,677.0,4209860,6776,0.161,3059552,1.0,53.586,3.66,241110,241046,129202,35296,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_233_serRa_S231,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,2891.0,11003772,5484,0.05,834740,1.0,65.339,1.64,1874616,1874346,1224864,744852,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_234_serRa_S232,Vida Ahyong,2019-07-28 18:46:15 -0700,COMPLETE,3307.0,4118886,6942,0.169,1067328,1.0,56.037,2.03,320056,319952,179350,88386,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_235_serRa_S233,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,2856.0,20480176,7580,0.037,1886620,1.0,55.178,2.73,1724018,1723734,951282,348400,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_236_serRa_S234,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,2713.0,9753064,5176,0.053,685810,1.0,60.795,1.7,1689692,1689398,1027252,604998,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_237_serRa_S235,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,3019.0,3927440,784,0.02,94584,1.0,54.369,1.33,257730,257688,140126,105486,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_238_serRa_S236,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,3238.0,10658926,11412,0.107,4189730,1.0,53.828,3.98,770838,770568,414926,104168,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_239_serRa_S237,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,3236.0,4057686,9816,0.242,3876628,1.0,45.541,4.03,165760,165654,75488,18720,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_240_serRa_S238,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,5163.0,6284128,56988,0.907,4306620,1.0,60.901,3.51,551048,550780,335594,95606,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_241_serRa_S239,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,3126.0,3045970,8394,0.276,2025418,1.0,55.382,2.57,242008,241868,134028,52054,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_242_serRa_S240,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,3087.0,5842098,9380,0.161,3758152,1.0,49.648,4.77,283796,283668,140900,29548,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_243_serRa_S241,Vida Ahyong,2019-07-28 18:46:16 -0700,COMPLETE,2882.0,791696,4816,0.608,431570,1.0,59.662,2.1,40542,40428,24188,11536,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_244_serRa_S242,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,2785.0,8697606,2974,0.034,311394,1.0,55.12,1.62,754356,754198,415804,256888,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_245_serRa_S243,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,2830.0,12768922,4516,0.035,287342,1.0,62.516,1.41,1672328,1672106,1045476,740614,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_246_serRa_S244,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,3003.0,1861900,16242,0.872,1178306,1.0,60.317,1.69,188568,188492,113738,67260,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_247_serRa_S245,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,2732.0,4032516,3246,0.08,215986,1.0,58.22,1.29,433324,433158,252282,195944,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_248_serRa_S246,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,2944.0,9758180,7092,0.073,1328586,1.0,56.551,2.22,851278,850982,481408,217166,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_249_serRa_S247,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,2773.0,3430168,2234,0.065,293696,1.0,54.734,1.62,226812,226688,124144,76492,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_250_serRa_S248,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,2806.0,10027982,8808,0.088,1159992,1.0,52.037,3.95,660320,660072,343612,86976,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_251_serRa_S249,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,3061.0,5476582,10548,0.193,1611876,1.0,46.008,2.87,350930,350836,161456,56284,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_252_serRa_S250,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,2893.0,6115334,4770,0.078,1085192,1.0,48.524,2.25,416186,415992,201952,89684,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_253_serRa_S251,Vida Ahyong,2019-07-28 18:46:17 -0700,COMPLETE,3036.0,4331508,18518,0.428,4117352,1.0,54.955,3.94,200526,200430,110200,27960,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_254_serRa_S252,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2982.0,1775042,3626,0.204,1703538,1.0,47.209,4.89,67742,67552,31980,6546,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_255_serRa_S253,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2842.0,3937186,7490,0.19,3527556,1.0,45.762,4.22,152210,152108,69654,16520,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_256_serRa_S254,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2834.0,6211738,7168,0.115,5951234,1.0,44.608,7.93,247042,246790,110200,13896,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_257_serRa_S255,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2497.0,4081304,6318,0.155,3910966,1.0,43.805,6.02,158722,158656,69528,11558,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_258_serRa_S256,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2917.0,6251022,11668,0.187,5995496,1.0,44.564,4.67,240840,240702,107328,22968,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_259_serRa_S257,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2665.0,3739958,7720,0.206,3582600,1.0,44.874,4.9,150090,149938,67352,13746,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_260_serRa_S258,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2913.0,3751244,8984,0.239,3561248,1.0,51.112,5.73,182766,182548,93416,16298,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_261_serRa_S259,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,8493.0,3589316,1846844,51.454,79842,1.0,81.937,1.53,3508892,3508786,2875086,1877004,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_262_serRa_S260,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2926.0,3015054,6290,0.209,2895004,1.0,48.994,4.53,113246,113150,55484,12260,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_263_serRa_S261,Vida Ahyong,2019-07-28 18:46:18 -0700,COMPLETE,2874.0,3882698,9930,0.256,3753698,1.0,56.356,3.58,116392,116266,65594,18326,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_264_serRa_S262,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2815.0,4703156,11290,0.24,4348340,1.0,51.366,5.34,214826,214662,110348,20656,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_265_serRa_S263,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2622.0,4819726,10632,0.221,4590278,1.0,45.235,4.76,212426,212334,96090,20184,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_266_serRa_S264,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2709.0,2059222,9484,0.461,1933994,1.0,61.745,4.61,121506,121386,75024,16290,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_267_serRa_S265,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2753.0,249352,12006,4.815,100,1.0,79.262,12.2,242324,241968,192070,15746,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_268_serRa_S266,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2631.0,4145882,8892,0.214,3803488,1.0,47.358,3.97,147068,146934,69648,17528,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_269_serRa_S267,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2988.0,4523018,9822,0.217,4347348,1.0,43.354,3.73,162208,162036,70324,18838,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_270_serRa_S268,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2985.0,5053260,12690,0.251,4835462,1.0,48.158,4.03,196254,196138,94512,23456,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_271_serRa_S269,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2810.0,2534516,5136,0.203,2433652,1.0,44.63,4.3,95470,95334,42608,9898,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_272_serRa_S270,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,3000.0,1342042,9996,0.745,1179336,1.0,71.219,7.03,157854,157688,112422,16000,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_273_serRa_S271,Vida Ahyong,2019-07-28 18:46:19 -0700,COMPLETE,2914.0,6960694,11744,0.169,6688606,1.0,46.725,5.41,257244,257014,120196,22216,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_274_serRa_S272,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2650.0,4816422,8578,0.178,3043814,1.0,48.7,3.38,203230,203080,98974,29288,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_275_watera_S273,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2866.0,5327956,11572,0.217,5074878,1.0,43.362,4.9,241848,241688,104870,21398,water,RNA,"Antananarivo, Madagascar",Human,""
RR034H_276_plRa_S274,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2850.0,6146600,14918,0.243,5865000,1.0,41.487,4.02,268494,268328,111390,27714,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_277_plRa_S275,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2726.0,1913156,11158,0.583,1791296,1.0,60.105,3.5,117462,117288,70600,20150,plasma,RNA,"Antananarivo, Madagascar",Human,""
RR034H_278_plRa_S276,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2933.0,2213750,10362,0.468,2082068,1.0,53.434,3.51,126856,126688,67784,19294,plasma,RNA,"Antananarivo, Madagascar",Human,""
RR034H_279_plRa_S277,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2684.0,3342552,9322,0.279,2890576,1.0,67.894,11.97,398052,397696,270254,22572,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_280_plRa_S278,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2853.0,4686224,14300,0.305,4465042,1.0,48.939,4.38,211206,211112,103362,23614,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_281_plRa_S279,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2918.0,8799186,19472,0.221,8400148,1.0,43.917,4.97,380236,380000,166988,33600,plasma,RNA,"Mahajanga, Madagascar",Human,""
RR034H_282_plRa_S280,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,3075.0,597542,3214,0.538,556100,1.0,58.199,3.57,40128,39952,23354,6544,plasma,RNA,"Mahajanga, Madagascar",Human,""
RR034H_283_plRa_S281,Vida Ahyong,2019-07-28 18:46:20 -0700,COMPLETE,2823.0,6472764,15686,0.242,6205844,1.0,41.484,3.25,237978,237752,98722,30362,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_284_plRa_S282,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,2686.0,2346512,11644,0.496,644512,1.0,56.74,1.28,120022,119522,68100,53242,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_285_plRa_S283,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,3123.0,6156020,58124,0.944,4819300,1.0,48.743,3.89,726506,725328,354124,90952,plasma,RNA,"Toamasina, Madagascar",Human,""
RR034H_286_plRa_S284,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,2923.0,7200692,17414,0.242,6867494,1.0,40.76,3.98,314282,314016,128102,32212,plasma,RNA,"Toamasina, Madagascar",Human,""
RR034H_287_plRa_S285,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,2788.0,8934266,15536,0.174,8496222,1.0,42.299,5.22,387366,387132,163852,31408,plasma,RNA,"Toamasina, Madagascar",Human,""
RR034H_288_plRa_S286,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,2708.0,4686480,16394,0.35,4468600,1.0,44.463,2.76,197676,197492,87892,31898,plasma,RNA,"Toamasina, Madagascar",Human,""
RR034H_289_plRa_S287,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,2822.0,8309588,18822,0.227,7935758,1.0,41.355,4.04,355008,354778,146812,36350,plasma,RNA,"Toliara, Madagascar",Human,""
RR034H_290_plRa_S288,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,2807.0,4515058,13316,0.295,4294504,1.0,48.386,3.87,212138,211984,102646,26510,plasma,RNA,"Toliara, Madagascar",Human,""
RR034H_291_plRa_S289,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,2691.0,3964078,10474,0.264,3619010,1.0,56.568,5.19,176598,176544,99898,19242,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_292_plRa_S290,Vida Ahyong,2019-07-28 18:46:21 -0700,COMPLETE,2744.0,1231894,8128,0.66,444154,1.0,69.428,8.2,170588,170508,118436,14450,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_293_plRa_S291,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2690.0,7879710,13404,0.17,5654420,1.0,47.0,3.81,314160,313762,147654,38800,plasma,RNA,"Toamasina, Madagascar",Human,""
RR034H_294_plRa_S292,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,4656.0,4039018,47102,1.166,3698356,1.0,62.569,3.44,321046,320990,200876,58418,plasma,RNA,"Toamasina, Madagascar",Human,""
RR034H_295_plRa_S293,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2631.0,4109722,8208,0.2,3878684,1.0,45.557,4.91,172276,172120,78484,15974,plasma,RNA,"Mahajanga, Madagascar",Human,""
RR034H_296_plRa_S294,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2826.0,14526646,21826,0.15,13679424,1.0,56.43,11.66,817456,816386,461288,39578,plasma,RNA,"Mahajanga, Madagascar",Human,""
RR034H_297_plRa_S295,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2462.0,3713194,10140,0.273,3569254,1.0,47.794,3.34,134850,134776,64450,19308,plasma,RNA,"Mahajanga, Madagascar",Human,""
RR034H_298_plRa_S296,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2380.0,3260268,10464,0.321,3137812,1.0,52.06,2.96,113538,113470,59108,19978,plasma,RNA,"Toliara, Madagascar",Human,""
RR034H_299_plRa_S297,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2796.0,1556336,4686,0.301,1419656,1.0,42.933,4.07,133510,131940,57320,14084,plasma,RNA,"Toliara, Madagascar",Human,""
RR034H_300_plRa_S298,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2474.0,5727650,1924,0.034,47086,1.0,52.884,2.44,397792,397692,210370,86364,plasma,RNA,"Antsiranana, Madagascar",Human,""
RR034H_301_plRa_S299,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2369.0,9524060,12088,0.127,6324156,1.0,50.499,4.76,410634,410488,207366,43574,plasma,RNA,"Antsiranana, Madagascar",Human,""
RR034H_302_plRa_S300,Vida Ahyong,2019-07-28 18:46:22 -0700,COMPLETE,2488.0,5534074,10668,0.193,5310372,1.0,46.778,4.44,206256,206136,96482,21734,plasma,RNA,"Antananarivo, Madagascar",Human,""
RR034H_303_plRa_S301,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2377.0,3098906,4964,0.16,2935026,1.0,43.471,5.39,109544,109506,47620,8828,plasma,RNA,"Antananarivo, Madagascar",Human,""
RR034H_304_plRa_S302,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2539.0,257206,2,0.001,62,1.0,76.092,1.16,20604,20344,15678,13574,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_304_serRa_S303,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2449.0,2529002,8338,0.33,2407334,1.0,51.171,3.71,110290,110212,56436,15208,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_305_plRa_S304,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2540.0,4011404,4104,0.102,0,1.0,45.715,2.4,800766,798856,366068,152840,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_305_serRa_S305,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2365.0,1286994,6204,0.482,1141382,1.0,65.726,7.23,128950,127048,84754,11722,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_306_plRa_S306,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2663.0,881690,36924,4.188,63106,1.0,78.618,12.2,653868,653414,514058,42140,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_306_serRa_S307,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2859.0,3958324,12556,0.317,3767186,1.0,41.441,2.96,178036,177866,73780,24934,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_307_serRa_S308,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,872.0,1236724,6924,0.56,1168850,1.0,43.508,2.04,62462,62312,27176,13344,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_308_serRa_S309,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2652.0,4323132,13970,0.323,4123526,1.0,44.022,2.74,188942,188738,83176,30388,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_309_serRa_S310,Vida Ahyong,2019-07-28 18:46:23 -0700,COMPLETE,2484.0,3283906,11052,0.337,3119204,1.0,34.931,2.42,157962,157762,55178,22816,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_310_serRa_S311,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2518.0,5526988,16530,0.299,5251356,1.0,45.612,3.69,264420,264118,120606,32656,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_311_serRa_S312,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2482.0,853662,5226,0.612,811218,1.0,51.293,1.84,39608,39306,20316,11018,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_312_serRa_S313,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,4879.0,4649106,65526,1.409,4206332,1.0,68.251,3.73,427326,427108,291654,78272,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_313_serRa_S314,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2362.0,2859744,8974,0.314,2669116,1.0,44.222,3.37,182778,181442,80828,23950,serum,RNA,"Toamasina, Madagascar",Human,""
RR034H_314_HeLaa_S315,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2543.0,3096734,8146,0.263,2926516,1.0,48.3,4.18,142294,142226,68728,16430,water,RNA,"California, USA",Human,""
RR034H_315_HeLaa_S316,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2454.0,539298,5114,0.948,396972,1.0,70.131,9.88,128770,128352,90308,9142,water,RNA,"California, USA",Human,""
RR034H_316_HeLaa_S317,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2583.0,7693610,17116,0.222,6964670,1.0,49.884,3.85,300980,300416,150142,38952,water,RNA,"California, USA",Human,""
RR034H_317_HeLaa_S318,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2459.0,6127630,7940,0.13,5096306,1.0,45.004,6.66,262666,262592,118210,17746,water,RNA,"California, USA",Human,""
RR034H_318_HeLaa_S319,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2369.0,1746574,5714,0.327,1284980,1.0,55.169,3.74,81720,81680,45084,12064,water,RNA,"California, USA",Human,""
RR034H_319_HeLaa_S320,Vida Ahyong,2019-07-28 18:46:24 -0700,COMPLETE,2544.0,8501244,10610,0.125,4655416,1.0,46.01,4.57,268350,267980,123468,27030,water,RNA,"California, USA",Human,""
RR034H_320_HeLaa_S321,Vida Ahyong,2019-07-28 18:46:25 -0700,COMPLETE,677.0,3815042,7788,0.204,1580978,1.0,49.163,1.96,103760,103332,51012,26034,water,RNA,"California, USA",Human,""
RR034H_321_HeLaa_S322,Vida Ahyong,2019-07-28 18:46:25 -0700,COMPLETE,2344.0,1872674,3606,0.193,406154,1.0,48.68,1.24,49758,48894,24222,19556,water,RNA,"California, USA",Human,""
